frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x
30,7,54.0,60.0,1,3,157,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,11774.193548387098,44120.60301507538
30,9,62.0,74.4156755287347,4,3,158,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,15000.0,49915.84945878782
30,12,13.075433699276855,19.426424119799666,5,8,160,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,-4727.647701904493,27809.617736602882
30,13,48.734763927962675,18.188236507606945,1601,8,161,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,9651.114487081726,27311.8538724048
30,14,20.64890406968068,34.722171006785615,19,8,162,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,-1673.8290041610162,33958.6617112706
30,15,37.454270749121676,102.67836590834469,42,8,163,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,5102.528527871645,61277.735038530525
30,16,37.00661584221532,63.84699072192125,13,8,164,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,4922.022517022307,45667.13194851106
30,17,60.59547623853955,92.74479049305371,71,8,165,2026-02-20 08:39:11+00:00,2026-02-20 08:39:11,14433.659773604659,57284.33788665476
31,1,8.0,5.514521634280838,2,3,166,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,-6774.193548387097,22216.89311930888
31,5,55.0,76.0,1,3,167,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,12177.419354838712,50552.763819095475
31,7,48.05500687342124,21.609466479544693,2009,8,168,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,9377.018900573083,28687.2227053446
31,8,21.148410986873156,40.85377756114126,21,8,169,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,-1472.4149246479208,36423.62917030804
31,11,36.70421644417136,108.58625035473167,44,8,172,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,4800.087275875548,63652.76396170118
31,12,37.41311730175808,66.18093679559249,13,8,173,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,5085.934395870194,46605.40172687135
31,14,60.32561121246432,97.92876943316288,97,8,175,2026-02-20 08:44:16+00:00,2026-02-20 08:44:16,14324.843230832388,59368.3495208695
